Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,ticket_num,ticket_cat
0,3,male,24,0,0,8.05,Other,S,343275,Other
0,3,male,29,0,0,8.05,Other,S,343276,Other
0,3,male,20,0,0,7.85,Other,S,347466,Other
0,1,male,46,1,0,61.18,E,S,5734,WEP
0,3,male,26,1,2,20.58,Other,S,2315,CA
0,3,male,59,0,0,7.25,Other,S,364500,Other
0,3,male,29,0,0,8.05,Other,S,374910,Other
0,1,male,71,0,0,34.65,A,C,17754,PC
1,1,male,23,0,1,63.36,D,C,17759,PC
1,2,female,34,0,1,23.0,Other,S,231919,Other
0,2,male,34,1,0,26.0,Other,S,244367,Other
0,3,female,28,0,0,7.9,Other,S,349245,Other
0,3,male,29,0,0,7.9,Other,S,349215,Other
0,1,male,21,0,1,77.29,D,S,35281,Other
0,3,male,33,0,0,8.65,Other,S,7540,Other
0,3,male,37,2,0,7.92,Other,S,3101276,Other
0,3,male,28,0,0,7.9,Other,S,349207,Other
1,3,female,21,0,0,7.65,Other,S,343120,Other
1,3,male,29,0,0,7.78,Other,S,312991,Other
0,3,male,38,0,0,7.9,Other,S,349249,Other
1,3,female,29,1,0,24.15,Other,Q,371110,Other
0,1,male,47,0,0,52.0,C,S,110465,Other
0,3,female,14,1,0,14.45,Other,C,2665,Other
0,3,male,22,0,0,8.05,Other,S,324669,Other
0,3,female,20,1,0,9.82,Other,S,4136,Other
0,3,female,17,0,0,14.46,Other,C,2627,Other
0,3,male,21,0,0,7.92,Other,S,3101294,STONO
0,3,male,70,0,0,7.75,Other,Q,370369,Other
0,2,male,29,1,0,21.0,Other,S,11668,Other
0,3,female,2,4,2,31.28,Other,S,347082,Other
0,2,male,21,2,0,73.5,Other,S,14879,SOC
0,3,male,29,0,0,8.05,Other,S,54510,A4
0,2,male,32,1,0,30.07,Other,C,237736,Other
1,2,female,32,0,0,13.0,E,S,27267,Other
0,1,male,54,0,1,77.29,D,S,35281,Other
1,3,male,12,1,0,11.24,Other,C,2651,Other
0,3,male,29,0,0,7.75,Other,Q,370372,Other
1,3,male,24,0,0,7.14,Other,S,17369,C
1,3,female,29,1,1,22.36,F,C,2668,Other
0,3,male,45,0,0,6.98,Other,S,347061,Other
0,3,male,33,0,0,7.9,Other,C,349241,Other
0,3,male,20,0,0,7.05,Other,S,3101307,SOTONOQ
0,3,female,47,1,0,14.5,Other,S,3337,A5
1,2,female,29,1,0,26.0,Other,S,228414,Other
0,2,male,25,0,0,13.0,Other,S,29178,CA
0,2,male,23,0,0,15.05,Other,C,2133,SCPARIS
1,1,female,19,0,2,26.28,D,S,11752,Other
0,1,male,37,1,0,53.1,C,S,113803,Other
0,3,male,16,0,0,9.22,Other,S,7534,Other
0,1,male,24,0,0,79.2,B,C,17593,PC
0,3,female,29,0,2,15.25,Other,C,2678,Other
1,3,female,22,0,0,7.75,Other,S,347081,Other
1,3,female,24,1,0,15.85,Other,S,3101279,STONO2
0,3,male,19,0,0,6.75,Other,Q,365222,Other
0,2,male,18,0,0,11.5,Other,S,231945,Other
0,2,male,19,1,1,36.75,Other,S,33112,CA
1,3,male,27,0,0,7.8,Other,S,350043,Other
0,3,female,9,2,2,34.38,Other,S,6608,WC
0,2,male,36,0,2,26.0,F,S,230080,Other
0,2,male,42,0,0,13.0,Other,S,244310,Other
0,2,male,51,0,0,12.52,Other,S,1166,Other
1,1,female,22,1,0,66.6,C,S,113776,Other
0,3,male,55,0,0,8.05,Other,S,11206,A5
0,3,male,40,0,2,14.5,Other,S,851,A5
0,3,male,29,0,0,7.31,Other,S,265302,Other
0,1,male,51,0,1,61.38,Other,C,17597,PC
1,3,female,16,0,0,7.73,Other,Q,35851,Other
0,3,male,30,0,0,8.05,Other,S,392090,SOTONOQ
0,3,male,29,0,0,8.66,Other,S,315037,Other
0,3,male,44,0,1,16.1,Other,S,371362,Other
1,2,female,40,0,0,15.75,Other,S,33595,CA
0,3,male,26,0,0,7.78,Other,S,347068,Other
0,3,male,17,0,0,8.66,Other,S,315093,Other
0,3,male,1,4,1,39.69,Other,S,3101295,Other
1,3,male,9,0,2,20.52,Other,S,363291,Other
1,1,female,29,0,1,55.0,E,S,113505,Other
0,1,male,29,0,0,25.92,Other,S,17318,PC
0,3,male,28,0,0,56.5,Other,S,1601,Other
0,1,male,61,0,0,33.5,B,S,111240,Other
0,3,male,4,4,1,29.12,Other,Q,382652,Other
1,3,female,1,1,1,11.13,Other,S,347742,Other
0,3,male,21,0,0,7.92,Other,S,3101280,STONO
0,1,male,56,0,0,30.7,A,C,17764,Other
0,3,male,18,1,1,7.85,Other,S,350404,Other
0,3,male,29,3,1,25.47,Other,S,4133,Other
0,1,female,50,0,0,28.71,C,C,17595,PC
0,2,male,30,0,0,13.0,Other,S,250653,Other
0,2,male,29,0,0,15.05,Other,C,2131,SCPARIS
0,3,male,9,4,2,31.39,Other,S,347077,Other
1,2,male,1,2,1,39.0,F,S,230136,Other
1,3,female,4,0,2,22.02,Other,S,315153,Other
0,1,male,29,0,0,50.0,A,S,113767,Other
1,3,female,29,1,0,15.5,Other,Q,370365,Other
1,1,male,45,0,0,26.55,Other,S,111428,Other
0,3,male,40,1,1,15.5,Other,Q,364849,Other
0,3,male,36,0,0,7.9,Other,S,349247,Other
1,2,female,32,0,0,13.0,Other,S,234604,Other
0,2,male,19,0,0,13.0,Other,S,28424,Other
1,3,female,19,1,0,7.85,Other,S,350046,Other
1,2,male,3,1,1,26.0,F,S,230080,Other
1,1,female,44,0,0,27.72,B,C,17610,PC
1,1,female,58,0,0,146.52,B,C,17569,PC
0,3,male,29,0,0,7.75,Other,Q,368703,Other
0,3,male,42,0,1,8.4,Other,S,4579,Other
1,3,female,29,0,0,7.75,Other,Q,370370,Other
0,2,female,24,0,0,13.0,Other,S,248747,Other
0,3,male,28,0,0,9.5,Other,S,345770,Other
0,3,male,34,0,0,6.5,Other,S,3101264,Other
0,3,male,45,0,0,7.22,Other,C,2628,Other
1,3,male,18,0,0,8.05,Other,S,3540,A5
0,3,female,2,0,1,10.46,G,S,347054,Other
0,3,male,32,1,0,15.85,Other,S,3101278,Other
1,3,male,26,0,0,18.79,Other,C,2699,Other
1,3,female,16,0,0,7.75,Other,Q,367231,Other
1,1,male,40,0,0,31.0,A,C,112277,Other
0,3,male,24,0,0,7.05,Other,S,3101311,SOTONOQ
1,2,female,35,0,0,21.0,Other,S,13528,FCC
0,3,male,22,0,0,7.25,Other,S,21174,A5
0,2,male,30,0,0,13.0,Other,S,250646,Other
0,3,male,29,1,0,7.75,Other,Q,367229,Other
1,1,female,31,1,0,113.28,D,C,35273,Other
1,3,female,27,0,0,7.92,Other,S,3101283,STONO2
0,2,male,42,1,0,27.0,Other,S,243847,Other
1,1,female,32,0,0,76.29,D,C,11813,Other
0,2,male,30,0,0,10.5,Other,S,14208,WC
1,3,male,16,0,0,8.05,Other,S,392089,SOTONOQ
0,2,male,27,0,0,13.0,Other,S,220367,Other
0,3,male,51,0,0,8.05,Other,S,21440,Other
0,3,male,29,0,0,7.9,Other,S,349234,Other
1,1,male,38,1,0,90.0,C,S,19943,Other
0,3,male,22,0,0,9.35,Other,S,4348,PP
1,2,male,19,0,0,10.5,Other,S,751,SWPP
0,3,male,20,0,0,7.25,Other,S,21173,A5
0,2,male,18,0,0,13.0,Other,S,236171,Other
0,3,female,29,3,1,25.47,Other,S,4133,Other
1,1,female,35,1,0,83.48,C,S,36973,Other
0,3,male,29,0,0,7.78,Other,S,347067,Other
0,2,male,59,0,0,13.5,Other,S,237442,Other
1,3,female,5,4,2,31.39,Other,S,347077,Other
0,2,male,24,0,0,10.5,Other,S,29566,CA
0,3,female,29,0,0,7.55,Other,S,6609,WC
0,2,male,44,1,0,26.0,Other,S,26707,Other
1,2,female,8,0,2,26.25,Other,S,31921,CA
0,2,male,19,0,0,10.5,Other,S,28665,Other
0,2,male,33,0,0,12.28,Other,S,1585,Other
0,3,female,29,1,0,14.45,Other,C,2665,Other
1,3,female,29,1,0,15.5,Other,Q,367230,Other
0,2,male,29,0,0,10.5,Other,S,14263,WC
0,3,male,22,0,0,7.12,Other,S,3101275,STONO
0,3,male,30,0,0,7.22,Other,C,2694,Other
0,1,male,44,2,0,90.0,C,Q,19928,Other
0,3,female,25,0,0,7.78,Other,S,347071,Other
1,2,female,24,0,2,14.5,Other,S,250649,Other
1,1,male,37,1,1,52.55,D,S,11751,Other
0,2,male,54,1,0,26.0,Other,S,244252,Other
0,3,male,29,0,0,7.25,Other,S,362316,Other
0,3,female,29,1,1,10.46,G,S,347054,Other
0,1,male,62,0,0,26.55,C,S,113514,Other
0,3,male,30,1,0,16.1,Other,S,3336,A5
0,3,female,41,0,2,20.21,Other,S,370129,Other
1,3,female,29,0,2,15.25,Other,C,2650,Other
1,1,female,29,0,0,79.2,Other,C,17585,PC
1,1,female,30,0,0,86.5,B,S,110152,Other
1,2,female,50,0,1,26.0,Other,S,230433,Other
0,3,male,29,0,0,7.75,Other,Q,384461,Other
1,3,male,3,4,2,31.39,Other,S,347077,Other
0,1,male,52,1,1,79.65,E,S,110413,Other
0,1,male,40,0,0,0.0,B,S,112059,Other
0,3,female,29,0,0,7.75,Other,Q,382649,Other
0,2,male,36,0,0,10.5,Other,S,17248,CA
0,3,male,16,4,1,39.69,Other,S,3101295,Other
1,3,male,25,1,0,7.78,Other,S,347083,Other
1,1,female,35,0,0,135.63,C,S,17760,PC
0,1,male,29,0,0,31.0,Other,S,113798,Other
1,2,female,41,0,1,19.5,Other,S,250644,Other
0,1,male,37,0,1,29.7,C,C,17596,PC
1,3,female,29,0,0,7.75,Other,Q,370375,Other
1,1,female,63,1,0,77.96,D,S,13502,Other
0,3,female,45,0,0,7.75,Other,S,347073,Other
0,2,male,29,0,0,0.0,Other,S,239853,Other
0,3,male,7,4,1,29.12,Other,Q,382652,Other
1,3,female,35,1,1,20.25,Other,S,2673,CA
0,3,male,65,0,0,7.75,Other,Q,336439,Other
0,3,male,28,0,0,7.85,Other,S,347464,Other
0,3,male,16,0,0,9.5,Other,S,345778,Other
1,3,male,19,0,0,8.05,Other,S,10482,A5
0,1,male,29,0,0,26.0,A,S,113056,Other
0,3,male,33,0,0,8.66,Other,C,349239,Other
1,3,male,30,0,0,9.5,Other,S,345774,Other
0,3,male,22,0,0,7.9,Other,S,349206,Other
1,2,male,42,0,0,13.0,Other,S,237798,Other
1,3,female,22,0,0,7.75,Other,Q,370373,Other
1,1,female,26,0,0,78.85,Other,S,19877,Other
1,1,female,19,1,0,91.08,B,C,11967,Other
0,2,male,36,0,0,12.88,D,C,2163,SCParis
0,3,female,24,0,0,8.85,Other,S,349236,Other
0,3,male,24,0,0,7.9,Other,S,349233,Other
0,1,male,29,0,0,27.72,Other,C,17612,PC
0,3,male,23,0,0,7.23,Other,C,2693,Other
0,1,female,2,1,2,151.55,C,S,113781,Other
1,1,male,29,0,0,30.5,C,S,19988,Other
1,3,female,29,0,0,7.75,Other,Q,9234,Other
1,3,male,29,2,0,23.25,Other,Q,367226,Other
1,2,female,29,0,0,12.35,E,Q,226593,Other
0,3,male,29,0,0,8.05,Other,S,2466,A5
1,1,male,0,1,2,151.55,C,S,113781,Other
1,1,female,29,0,0,110.88,Other,C,17421,Other
1,1,female,17,1,0,108.9,C,C,17758,PC
0,2,male,30,1,0,24.0,Other,C,3381,PPP
1,1,female,30,0,0,56.93,E,C,17485,PC
1,1,female,24,0,0,83.16,C,C,11767,Other
0,2,female,26,1,1,26.0,Other,S,250651,Other
0,3,male,28,0,0,7.9,Other,S,349243,Other
0,2,male,43,1,1,26.25,Other,S,13529,FCC
1,3,female,26,0,0,7.85,Other,S,347470,Other
1,2,female,24,1,0,26.0,Other,S,244367,Other
0,2,male,54,0,0,14.0,Other,S,29011,Other
1,1,female,40,1,1,134.5,E,C,16966,Other
0,3,male,22,0,0,7.25,Other,S,21172,A5
0,3,male,27,0,0,7.9,Other,S,349219,Other
1,2,female,30,0,0,12.35,Other,Q,234818,Other
1,2,female,22,1,1,29.0,Other,S,248738,Other
1,1,female,36,0,0,135.63,C,C,17760,PC
0,3,male,61,0,0,6.24,Other,S,345364,Other
1,2,female,36,0,0,13.0,D,S,28551,Other
1,3,female,31,1,1,20.52,Other,S,363291,Other
1,1,female,16,0,1,57.98,B,C,111361,Other
1,3,female,29,2,0,23.25,Other,Q,367226,Other
0,1,male,45,0,0,28.5,C,S,113043,Other
0,3,male,16,2,0,18.0,Other,S,345764,Other
1,1,female,29,1,0,133.65,Other,S,17611,PC
0,3,male,29,0,0,7.9,Other,S,349225,Other
0,1,male,29,1,0,66.6,C,S,113776,Other
1,1,female,41,0,0,134.5,E,C,16966,Other
1,3,male,45,0,0,8.05,Other,S,7598,Other
0,1,male,45,0,0,35.5,T,S,113784,Other
1,2,male,2,1,1,26.0,F,S,230080,Other
0,2,male,28,0,0,13.0,Other,S,248740,Other
0,2,male,25,0,0,13.0,Other,S,244361,Other
0,2,male,36,0,0,13.0,Other,S,229236,Other
1,2,female,24,0,0,13.0,F,S,248733,Other
1,2,female,40,0,0,13.0,Other,S,31418,Other
1,3,female,29,1,0,16.1,Other,S,386525,Other
1,3,male,3,1,1,15.9,Other,S,37671,CA
0,3,male,42,0,0,8.66,Other,S,315088,Other
0,3,male,23,0,0,9.22,Other,S,7267,Other
0,1,male,29,0,0,35.0,C,S,113510,Other
0,3,male,15,1,1,7.23,Other,C,2695,Other
0,3,male,25,1,0,17.8,Other,S,349237,Other
0,3,male,29,0,0,7.22,Other,C,2647,Other
0,3,male,28,0,0,9.5,Other,S,345783,Other
1,1,female,22,0,1,55.0,E,S,113505,Other
0,2,female,38,0,0,13.0,Other,S,237671,Other
1,3,female,29,0,0,7.88,Other,Q,330931,Other
1,3,female,29,0,0,7.88,Other,Q,330980,Other
0,2,male,29,1,0,27.72,Other,C,2167,SCPARIS
0,3,female,45,0,1,14.45,Other,C,2691,Other
0,3,male,35,0,0,7.05,Other,S,3101310,SOTONOQ
0,3,male,29,1,0,15.5,Other,Q,370365,Other
0,3,male,30,0,0,7.25,Other,S,7076,C
1,1,female,60,1,0,75.25,D,C,110813,Other
1,3,female,29,0,0,7.23,Other,C,2626,Other
1,3,female,29,0,0,7.75,Other,Q,14313,Other
1,1,female,24,0,0,69.3,B,C,17477,PC
1,1,male,25,1,0,55.44,E,C,11765,Other
0,3,male,18,1,0,6.5,Other,S,3101267,Other
0,3,male,19,0,0,8.05,Other,S,323951,Other
0,1,male,22,0,0,135.63,Other,C,17760,PC
0,3,female,3,3,1,21.08,Other,S,349909,Other
1,1,female,29,1,0,82.17,Other,C,17604,PC
1,3,female,22,0,0,7.25,Other,S,7077,C
0,3,male,20,0,0,4.01,Other,C,2648,Other
0,3,male,19,0,0,7.78,Other,S,347069,Other
1,3,female,1,0,2,15.74,Other,C,2653,Other
0,3,male,32,0,0,7.92,Other,S,3101293,STONO
1,1,female,35,1,0,52.0,Other,S,113789,Other
0,3,male,29,0,0,7.9,Other,S,349227,Other
0,2,male,18,0,0,73.5,Other,S,14879,SOC
1,2,female,36,0,0,13.0,Other,S,27849,Other
0,3,male,29,0,0,7.73,Other,Q,367655,Other
1,2,female,17,0,0,12.0,Other,C,1748,Other
1,1,male,36,1,2,120.0,B,S,113760,Other
1,3,male,21,0,0,7.8,Other,S,350034,Other
0,3,male,28,2,0,7.92,Other,S,3101277,Other
1,1,female,23,1,0,113.28,D,C,35273,Other
1,3,female,24,0,2,16.7,G,S,9549,PP
0,3,male,22,0,0,7.8,Other,S,350052,Other
0,3,female,31,0,0,7.85,Other,S,350407,Other
0,2,male,46,0,0,26.0,Other,S,28403,Other
0,2,male,23,0,0,10.5,Other,S,244278,Other
1,2,female,28,0,0,12.65,Other,S,240929,Other
1,3,male,39,0,0,7.92,Other,S,3101289,STONO
0,3,male,26,0,0,8.05,Other,S,341826,Other
0,3,female,21,1,0,9.82,Other,S,4137,Other
0,3,male,28,1,0,15.85,Other,S,3101279,STONO2
0,3,female,20,0,0,8.66,Other,S,315096,Other
0,2,male,34,1,0,21.0,Other,S,28664,Other
0,3,male,51,0,0,7.75,Other,S,347064,Other
1,2,male,3,1,1,18.75,Other,S,29106,Other
0,3,male,21,0,0,7.78,Other,S,312992,Other
0,3,female,29,3,1,25.47,Other,S,4133,Other
0,3,male,29,0,0,7.9,Other,S,349222,Other
0,3,male,29,0,0,6.86,Other,Q,394140,Other
1,1,female,33,1,0,90.0,C,Q,19928,Other
0,2,male,29,0,0,0.0,Other,S,239853,Other
1,3,male,44,0,0,7.92,Other,S,3101269,STONO
0,3,female,29,0,0,8.05,Other,S,343095,Other
1,2,female,34,1,1,32.5,Other,S,28220,Other
1,2,female,18,0,2,13.0,Other,S,250652,Other
0,2,male,30,0,0,13.0,Other,S,28228,Other
0,3,female,10,0,2,24.15,Other,S,345773,Other
0,3,male,29,0,0,7.9,Other,C,349254,Other
0,3,male,21,0,0,7.73,Other,Q,13032,A5
0,3,male,29,0,0,7.88,Other,S,315082,Other
0,3,female,28,1,1,14.4,Other,S,347080,Other
0,3,male,18,1,1,20.21,Other,S,370129,Other
0,3,male,29,0,0,7.25,Other,S,34244,A4
1,2,female,28,1,0,26.0,Other,S,2003,Other
1,2,female,19,0,0,26.0,Other,S,250655,Other
0,3,male,29,0,0,7.75,Other,Q,364851,Other
1,3,male,32,0,0,8.05,E,S,392078,SOTONOQ
1,1,male,28,0,0,26.55,C,S,110564,Other
1,3,female,29,1,0,16.1,Other,S,376564,Other
1,2,female,42,1,0,26.0,Other,S,3085,SCAH
0,3,male,17,0,0,7.12,Other,S,3101274,STONO
0,1,male,50,1,0,55.9,E,S,13507,Other
1,1,female,14,1,2,120.0,B,S,113760,Other
0,3,female,21,2,2,34.38,Other,S,6608,WC
0,2,male,31,0,0,10.5,Other,S,18723,CA
1,2,female,45,1,1,26.25,Other,S,13529,FCC
0,3,male,20,0,0,9.5,Other,S,345769,Other
0,3,male,25,1,0,7.78,Other,S,347076,Other
1,2,female,28,0,0,13.0,Other,S,230434,Other
1,3,male,29,0,0,8.11,Other,S,65306,Other
1,1,male,4,0,2,81.86,A,S,33638,Other
1,2,female,13,0,1,19.5,Other,S,250644,Other
1,1,male,34,0,0,26.55,Other,S,113794,Other
1,3,female,5,2,1,19.26,Other,C,2666,Other
1,1,male,52,0,0,30.5,C,S,113786,Other
0,2,male,36,1,2,27.75,Other,S,34651,CA
0,3,male,29,1,0,19.97,Other,S,65303,Other
0,1,male,30,0,0,27.75,C,C,113051,Other
1,1,male,49,1,0,89.1,C,C,17453,Other
0,3,male,29,0,0,8.05,Other,S,2817,A5
1,3,male,29,0,0,7.9,Other,C,349240,Other
0,1,male,65,0,0,26.55,E,S,13509,Other
1,1,female,29,1,0,51.86,D,S,17464,Other
1,2,female,50,0,0,10.5,Other,S,13531,FCC
0,3,male,29,0,0,7.75,Other,Q,371060,Other
1,1,male,48,0,0,26.55,E,S,19952,Other
0,3,male,34,0,0,8.05,Other,S,364506,Other
0,1,male,47,0,0,38.5,E,S,111320,Other
0,2,male,48,0,0,13.0,Other,S,234360,Other
0,3,male,29,0,0,8.05,Other,S,2816,Other
0,3,male,38,0,0,7.05,Other,S,3101306,SOTONOQ
0,2,male,29,0,0,0.0,Other,S,239853,Other
0,1,male,56,0,0,26.55,Other,S,113792,Other
0,3,male,29,0,0,7.72,Other,Q,36209,Other
1,3,female,0,2,1,19.26,Other,C,2666,Other
0,3,male,29,0,0,7.25,Other,S,323592,Other
0,3,male,38,0,0,8.66,Other,S,315089,Other
1,2,female,33,1,2,27.75,Other,S,34651,CA
1,2,female,23,0,0,13.79,D,C,541,SCAH
0,3,female,22,0,0,9.84,Other,S,7553,Other
0,1,male,29,0,0,52.0,A,S,110465,Other
0,2,male,34,1,0,21.0,Other,S,31027,Other
0,3,male,29,1,0,7.05,Other,S,3460,Other
0,3,male,22,0,0,7.52,Other,S,350060,Other
1,3,female,2,0,1,12.29,Other,S,3101298,Other
0,2,male,29,0,0,0.0,Other,S,239854,Other
0,3,male,50,0,0,8.05,Other,S,3594,A5
1,3,female,63,0,0,9.59,Other,S,4134,Other
1,1,male,25,1,0,91.08,B,C,11967,Other
0,3,female,29,3,1,25.47,Other,S,4133,Other
1,1,female,35,1,0,90.0,C,S,19943,Other
0,1,male,58,0,0,29.7,B,C,11771,Other
0,3,male,30,0,0,8.05,Other,S,18509,A5
1,3,male,9,1,1,15.9,Other,S,37671,CA
0,3,male,29,1,0,19.97,Other,S,65304,Other
0,3,male,21,0,0,7.25,Other,S,3101317,SOTONOQ
0,1,male,55,0,0,30.5,C,S,113787,Other
0,1,male,71,0,0,49.5,Other,C,17609,PC
0,3,male,21,0,0,8.05,Other,S,45380,A4
0,3,male,29,0,0,14.46,Other,C,2627,Other
1,1,female,54,1,0,78.27,D,C,36947,Other
0,3,male,29,0,0,15.1,Other,S,6212,CA
0,1,female,25,1,2,151.55,C,S,113781,Other
0,3,male,24,0,0,7.8,Other,S,350035,Other
0,3,male,17,0,0,8.66,Other,S,315086,Other
0,3,female,21,0,0,7.75,Other,Q,364846,Other
0,3,female,29,0,0,7.63,Other,Q,330909,Other
0,3,female,37,0,0,9.59,Other,S,4135,Other
1,1,female,16,0,0,86.5,B,S,110152,Other
0,1,male,18,1,0,108.9,C,C,17758,PC
1,2,female,33,0,2,26.0,Other,S,26360,Other
1,1,male,29,0,0,26.55,Other,S,111427,Other
0,3,male,28,0,0,22.52,Other,S,4001,C
1,3,male,26,0,0,56.5,Other,S,1601,Other
1,3,male,29,0,0,7.75,Other,Q,382651,Other
0,3,male,29,0,0,8.05,Other,S,3101316,SOTONOQ
1,1,male,36,0,0,26.29,E,S,17473,PC
1,1,female,54,1,0,59.4,Other,C,17603,PC
0,3,male,24,0,0,7.5,Other,S,349209,Other
0,1,male,47,0,0,34.02,D,S,36967,Other
1,2,female,34,0,0,10.5,F,S,34260,CA
0,3,male,29,0,0,24.15,Other,Q,371110,Other
1,2,female,36,1,0,26.0,Other,S,226875,Other
0,3,male,32,0,0,7.9,Other,S,349242,Other
1,1,female,30,0,0,93.5,B,S,12749,Other
0,3,male,22,0,0,7.9,Other,S,349252,Other
0,3,male,29,0,0,7.22,Other,C,2624,Other
1,1,female,44,0,1,57.98,B,C,111361,Other
0,3,male,29,0,0,7.23,Other,C,2700,Other
0,3,male,40,0,0,7.75,Other,Q,367232,Other
1,2,female,50,0,0,10.5,Other,S,14258,WC
0,3,male,39,0,0,7.92,Other,S,3101296,Other
0,2,male,23,2,1,11.5,Other,S,29104,Other
1,2,female,2,1,1,26.0,Other,S,26360,Other
0,3,male,29,0,0,7.23,Other,C,2641,Other
0,3,male,17,1,1,7.23,Other,C,2690,Other
1,3,female,29,0,2,22.36,Other,C,2668,Other
0,3,female,30,0,0,8.66,Other,S,315084,Other
1,2,female,7,0,2,26.25,Other,S,13529,FCC
0,1,male,45,0,0,26.55,B,S,113050,Other
1,1,female,30,0,0,106.42,Other,C,17761,PC
0,3,male,29,0,0,14.5,Other,S,364498,Other
1,1,female,22,0,2,49.5,B,C,13568,Other
1,1,female,36,0,2,71.0,B,S,5735,WEP
0,3,female,9,4,2,31.28,Other,S,347082,Other
0,3,female,11,4,2,31.28,Other,S,347082,Other
1,2,male,32,1,0,26.0,Other,S,2908,Other
